author,word_count,sentence_count,comma_count,exclamation_count,unique_word_count,mean_words_phrases,polarity,subjectivity,POS0,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,POS10,POS11,POS12,POS13,POS14,POS15,POS16,POS17,POS18
0,854,44,73,3,547,19,0.01949367088607595,0.2114873417721519,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684,0.07962529274004684
0,1205,60,87,5,754,20,0.022844488188976383,0.21854330708661412,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751,0.12177985948477751
0,1139,54,109,4,719,21,0.001739766081871344,0.2612280701754386,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424,0.05620608899297424
0,620,28,45,0,441,22,0.004354838709677423,0.2938709677419355,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445,0.01756440281030445
0,395,16,21,0,301,24,0.028333333333333332,0.3051111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,671,29,66,2,494,23,-0.06041666666666667,0.2924999999999999,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307,0.10421545667447307
0,546,15,52,0,409,36,-0.0609375,0.2527083333333333,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006,0.15807962529274006
0,717,18,66,3,521,39,-0.011948529411764707,0.34389705882352933,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452
0,459,21,43,1,334,21,0.0707608695652174,0.2972826086956522,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986,0.2576112412177986
0,687,31,81,6,440,22,0.035172101449275364,0.33594202898550724,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452,0.00468384074941452
0,341,14,40,1,251,24,0.0863,0.2676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,99,4,9,0,78,24,0.09,0.308,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869,0.07377049180327869
0,336,13,36,1,235,25,-0.02810810810810811,0.2272972972972973,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965,0.06440281030444965
0,109,4,13,1,93,27,-0.2609090909090909,0.3409090909090909,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937,0.1592505854800937
